method,auroc,fpr95,tpr05
loss,59.7%,92.1%,11.0%
zlib,58.7%,92.4%,10.7%
mink_0.1,55.3%,90.7%,9.8%
mink_0.2,56.9%,91.6%,8.8%
mink_0.3,57.8%,92.0%,10.8%
mink_0.4,58.4%,91.3%,12.2%
mink_0.5,58.7%,91.2%,12.5%
mink_0.6,59.0%,91.2%,11.8%
mink_0.7,59.3%,91.2%,11.1%
mink_0.8,59.6%,92.1%,11.0%
mink_0.9,59.7%,91.8%,11.0%
mink_1.0,59.7%,92.1%,11.0%
mink++_0.1,54.1%,95.0%,6.0%
mink++_0.2,55.8%,93.3%,7.7%
mink++_0.3,56.8%,92.6%,8.5%
mink++_0.4,56.7%,92.3%,8.8%
mink++_0.5,56.3%,92.4%,7.9%
mink++_0.6,55.6%,93.0%,7.0%
mink++_0.7,54.9%,93.3%,6.5%
mink++_0.8,54.1%,94.0%,5.9%
mink++_0.9,53.5%,93.5%,5.7%
mink++_1.0,53.0%,93.3%,5.1%
