method,auroc,fpr95,tpr05
loss,78.1%,80.6%,34.2%
zlib,77.5%,76.8%,34.6%
mink_0.1,72.8%,84.2%,30.6%
mink_0.2,75.2%,83.6%,34.8%
mink_0.3,76.5%,84.6%,33.6%
mink_0.4,77.1%,84.8%,36.2%
mink_0.5,77.5%,81.6%,37.0%
mink_0.6,77.8%,80.4%,36.0%
mink_0.7,77.9%,80.4%,35.0%
mink_0.8,78.0%,80.8%,34.2%
mink_0.9,78.0%,79.8%,34.2%
mink_1.0,78.1%,80.6%,34.2%
mink++_0.1,59.0%,93.6%,12.8%
mink++_0.2,64.9%,89.0%,15.6%
mink++_0.3,67.3%,85.0%,16.8%
mink++_0.4,67.3%,84.0%,16.4%
mink++_0.5,66.7%,85.8%,15.6%
mink++_0.6,65.6%,86.0%,15.4%
mink++_0.7,64.3%,87.2%,14.6%
mink++_0.8,62.6%,88.4%,12.8%
mink++_0.9,60.9%,89.4%,9.8%
mink++_1.0,59.3%,87.8%,8.8%
