method,auroc,fpr95,tpr05
loss,92.2%,34.8%,62.9%
zlib,80.8%,67.4%,16.9%
mink_0.1,92.9%,41.6%,69.7%
mink_0.2,92.7%,43.8%,69.7%
mink_0.3,92.4%,41.6%,69.7%
mink_0.4,92.7%,33.7%,69.7%
mink_0.5,92.6%,33.7%,65.2%
mink_0.6,92.3%,34.8%,64.0%
mink_0.7,92.1%,34.8%,64.0%
mink_0.8,92.2%,34.8%,64.0%
mink_0.9,92.2%,34.8%,62.9%
mink_1.0,92.2%,34.8%,62.9%
mink++_0.1,58.1%,95.5%,23.6%
mink++_0.2,67.8%,85.4%,31.5%
mink++_0.3,68.7%,82.0%,33.7%
mink++_0.4,69.0%,82.0%,34.8%
mink++_0.5,69.5%,80.9%,36.0%
mink++_0.6,71.8%,80.9%,38.2%
mink++_0.7,75.8%,79.8%,36.0%
mink++_0.8,75.3%,82.0%,25.8%
mink++_0.9,69.5%,82.0%,19.1%
mink++_1.0,58.7%,94.4%,10.1%
