method,auroc,fpr95,tpr05
loss,54.5%,94.4%,11.1%
zlib,53.2%,95.0%,12.7%
mink_0.1,53.9%,94.6%,7.9%
mink_0.2,54.1%,95.3%,9.4%
mink_0.3,54.5%,95.0%,10.2%
mink_0.4,54.5%,95.1%,11.4%
mink_0.5,54.6%,94.8%,11.8%
mink_0.6,54.6%,94.7%,11.5%
mink_0.7,54.6%,94.7%,10.6%
mink_0.8,54.6%,94.8%,11.4%
mink_0.9,54.6%,94.6%,11.2%
mink_1.0,54.5%,94.4%,11.1%
mink++_0.1,51.4%,95.0%,7.7%
mink++_0.2,52.7%,94.7%,8.6%
mink++_0.3,53.2%,94.2%,9.9%
mink++_0.4,53.3%,94.7%,10.3%
mink++_0.5,53.3%,94.8%,10.1%
mink++_0.6,53.2%,95.0%,9.8%
mink++_0.7,53.0%,94.9%,9.0%
mink++_0.8,52.9%,94.6%,8.2%
mink++_0.9,52.6%,94.8%,7.6%
mink++_1.0,52.4%,95.4%,7.0%
